1,Telephone and Mobile,10/6/2015,1000,Yes,Telephone and Mobile,ddsdds
2,Mediclaim,10/6/2015,2000,yes,Mediclaim,sdds
3,Advancesalary,10/6/2015,3000,yes,Advancesalary,
4,Travel ttt,10/6/2015,3000,yes,Travel,
1,Telephone and Mobile,10/6/2015,1000,Yes,Telephone and Mobile,ddsdds
2,Mediclaim,10/6/2015,2000,yes,Mediclaim,sdds
3,Advancesalary,10/6/2015,3000,yes,Advancesalary,
4,Travel ttt,10/6/2015,3000,yes,Travel,
1,Telephone and Mobile,10/6/2015,1000,Yes,Telephone and Mobile,ddsdds
2,Mediclaim,10/6/2015,2000,yes,Mediclaim,sdds
3,Advancesalary,10/6/2015,3000,yes,Advancesalary,
4,Travel ttt,10/6/2015,3000,yes,Travel,
1,Telephone and Mobile,10/6/2015,1000,Yes,Telephone and Mobile,ddsdds
2,Mediclaim,10/6/2015,2000,yes,Mediclaim,sdds
3,Advancesalary,10/6/2015,3000,yes,Advancesalary,
4,Travel ttt,10/6/2015,3000,yes,Travel,
1,Telephone and Mobile,10/6/2015,1000,Yes,Telephone and Mobile,ddsdds
2,Mediclaim,10/6/2015,2000,yes,Mediclaim,sdds
3,Advancesalary,10/6/2015,3000,yes,Advancesalary,
4,Travel ttt,10/6/2015,3000,yes,Travel,
